Year,D_Area,Hist_Mean,Ann_Mean,Hist_Max,Ann_Max,Hist_Min,Ann_Min,RiverCoeff,Hist_MaxQs,Ann_MaxQs
1991,812.03,70.60,46.81,6160.00,1940.00,0.00,4.72,-,22677,9740
1991,175.30,17.01,16.54,1690.00,565.00,0.34,1.50,4971,2388,697
1991,309.86,23.99,29.64,3050.00,1490.00,0.00,0.29,-,28706,4353
1991,1506.00,101.78,86.01,11900.00,2420.00,16.50,16.50,717,56000,40800
1991,1538.81,106.28,73.14,14300.00,3970.00,12.00,12.00,1135,33400,33400
1991,1584.29,97.01,107.17,12800.00,4550.00,0.41,1.80,31220,64000,41200
1990,622.80,36.48,55.81,9110.00,3851.00,1.37,5.80,6650,35715,10447
1990,820.69,62.20,45.96,4580.00,-,2.85,6.53,1607,36600,36600
1990,221.73,14.28,18.63,1910.00,1730.00,0.37,2.23,5162,18016,2440
1990,247.28,13.28,18.81,3640.00,991.00,0.36,1.50,10111,49693,7876
1990,633.18,31.76,58.16,6340.00,2430.00,0.06,1.12,105667,24500,4910
1990,417.08,25.01,44.30,1471.64,1471.64,3.40,5.00,446,4692,4692
1990,1980.65,117.47,145.48,13500.00,13500.00,5.41,20.00,23276,21500,21500
1990,2090.62,101.27,138.07,6020.00,3210.00,14.30,19.20,1387,37170,37170
1990,597.46,25.51,37.44,3640.00,770.00,0.00,2.34,-,16534,2303
1990,149.68,7.50,11.03,1300.00,622.00,0.00,0.40,-,8240,2199
1990,441.02,18.64,30.05,5980.00,848.00,0.00,0.78,-,36300,8360
1990,226.66,8.67,12.59,1600.00,609.00,0.00,0.32,-,23833,3824
1990,1115.90,29.67,75.08,3150.00,2880.00,0.00,0.10,-,160996,160996
1990,146.46,5.21,8.43,598.00,305.00,0.00,0.19,-,37380,37380
1990,139.62,8.30,11.20,1770.00,566.00,0.02,0.10,88500,753353,753353
1990,812.03,71.35,87.00,6160.00,3020.00,0.00,4.72,-,22677,8762
1990,175.30,17.03,21.29,1690.00,555.00,0.34,1.68,4971,2388,1780
1990,309.86,23.79,33.59,3050.00,1220.00,0.00,0.47,-,28706,5625
1990,1506.00,102.54,136.83,11900.00,4920.00,16.60,38.00,717,56000,9490
1990,1538.81,107.86,123.76,14300.00,3760.00,12.60,29.00,1135,25292,7680
1990,1584.29,96.78,137.14,12800.00,2820.00,0.41,8.00,1220,64000,20200
1989,622.80,35.76,36.06,9110.00,2500.00,1.37,1.37,6650,35715,13421
1989,820.69,62.60,47.21,4580.00,3090.00,2.85,8.00,1607,36200,36200
1989,221.73,14.05,13.72,1910.00,949.00,0.37,1.51,5162,18016,1690
1989,247.28,13.11,12.65,3640.00,984.00,0.36,0.89,10111,49693,3940
1989,633.18,30.61,35.56,6340.00,-,0.06,0.27,105667,24500,2630
1989,417.08,23.99,23.33,1080.00,1080.00,3.40,3.90,446,4652,2696
1989,1980.65,116.31,101.74,13200.00,13200.00,5.41,9.88,23276,13000,-
1989,2090.62,89.01,105.58,6020.00,6020.00,14.30,15.80,1387,27993,27993
1989,597.46,25.18,22.07,3640.00,1385.00,0.00,1.18,-,16534,5224
1989,149.68,7.29,8.17,1300.00,990.00,0.00,0.21,-,8240,1161
1989,441.02,18.28,18.58,5980.00,1750.00,0.00,0.57,-,36300,8365
1989,226.66,8.54,9.69,1600.00,1230.00,0.00,0.17,-,23833,6338
1989,1115.90,23.99,26.52,3150.00,3150.00,0.00,0.25,-,26212,26212
1989,146.46,5.02,4.15,598.00,-,0.00,0.13,-,20044,426
1989,139.62,7.94,7.04,1770.00,890.00,0.02,0.04,88500,78434,15825
1989,812.03,70.84,56.68,6160.00,2730.00,0.00,8.70,-,22677,22677
1989,175.30,16.86,13.24,1690.00,822.00,0.34,1.20,4971,2388,2388
1989,309.86,23.44,22.69,3050.00,2630.00,0.00,0.30,-,28706,6345
1989,1506.00,100.82,84.95,11900.00,4180.00,16.60,19.50,717,56000,17500
1989,1538.81,107.07,80.07,14300.00,4940.00,12.60,30.00,1135,25292,10100
1989,1584.29,95.84,72.68,12800.00,1540.00,0.41,4.96,31220,64000,23400
1988,622.80,35.75,24.97,9110.00,374.00,1.59,3.05,6650,35715,615
1988,820.69,63.00,46.44,4580.00,2160.00,2.85,6.66,1607,33900,7540
